0.005,171.6
0.01,95.0
0.015,88.8
0.02,112.4
0.025,101.3
0.03,142.5
0.035,110.6
0.04,125.1
0.045,103.3
0.05,101.3
0.055,102.0
0.06,102.9
0.065,137.4
0.07,164.3
0.075,99.8
0.08,97.3
0.085,95.8
0.09,116.9
0.095,117.1
0.1,114.5
0.105,104.4
0.11,106.8
0.115,116.2
0.12,111.2
0.125,101.2
0.13,102.7
0.135,93.4
0.14,117.1
0.145,103.6
0.15,101.9
0.155,102.0
0.16,100.3
0.165,111.5
0.17,101.9
0.175,161.2
0.18,121.5
0.185,100.6
0.19,104.2
0.195,105.2
0.2,108.3
0.205,109.2
0.21,103.2
0.215,107.3
0.22,104.7
0.225,99.1
0.23,98.6
0.235,101.8
0.24,100.7
0.245,100.6
0.25,100.3
